query_id,formal_ndcg@10,formal_recall@100,formal_mrr@10,informal_ndcg@10,informal_recall@100,informal_mrr@10,normalized_ndcg@10,normalized_recall@100,normalized_mrr@10,strong_norm_ndcg@10,strong_norm_recall@100,strong_norm_mrr@10,heavy_ndcg@10,heavy_recall@100,heavy_mrr@10,heavy_normalized_ndcg@10,heavy_normalized_recall@100,heavy_normalized_mrr@10,formal_vs_informal,formal_vs_normalized,formal_vs_strong_norm,formal_vs_heavy,formal_vs_heavy_normalized
559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9627,0.9906,0.9946,0.8267,0.9802
567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9959,0.9746,1.0,0.838,0.8883
568,0.6131,1.0,1.0,0.6131,1.0,1.0,0.6131,1.0,1.0,0.7904,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9563,0.9563,0.9978,0.8336,0.8318
5706,0.2961,1.0,0.5,0.2961,1.0,0.5,0.2961,1.0,0.5,0.2961,1.0,0.5,0.0,0.0,0.0,0.0,0.6667,0.0,0.9241,0.9333,0.9985,0.835,0.8729
5719,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994,0.9949,0.9991,0.8795,0.8952
5811,0.3904,0.5,1.0,0.1952,0.25,0.3333,0.3904,0.25,1.0,0.3904,0.5,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.9232,0.9442,0.99,0.8602,0.8915
5861,0.7277,1.0,1.0,0.5571,1.0,1.0,0.7323,1.0,1.0,0.7277,1.0,1.0,0.0731,0.25,0.1,0.4923,1.0,1.0,0.9513,0.9894,1.0,0.8533,0.9034
5971,0.4982,1.0,0.5,0.4776,1.0,0.5,0.6714,1.0,1.0,0.4982,1.0,0.5,0.0,0.0,0.0,0.2961,1.0,0.5,0.9772,0.977,1.0,0.8597,0.9114
5980,0.8541,1.0,1.0,0.8319,1.0,1.0,0.8319,1.0,1.0,0.8541,1.0,1.0,0.0,0.0,0.0,0.8048,1.0,1.0,0.9068,0.9096,1.0,0.7902,0.9188
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9305,0.9315,0.9998,0.8386,0.9214
